"legislature","url","name","born","sex","constituency","party","committee","photo","nyears"
12,"http://dati.camera.it/ocd/deputato.rdf/d23220_12","FLORINDO D'AIMMO",1928,"M","Molise","PARTITO POPOLARE ITALIANO","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);COMMISSIONE SPECIALE PER LE POLITICHE COMUNITARIE;COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLA DESTINAZIONE DEI FONDI PER LA RICOSTRUZIONE DEL BELICE","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23220&legislatura=12",11
9,"http://dati.camera.it/ocd/deputato.rdf/d23220_9","FLORINDO D'AIMMO",1928,"M","Campobasso","DEMOCRAZIA CRISTIANA","VI COMMISSIONE (FINANZE E TESORO)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23220&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23230_10","MICHELE D'AMBROSIO",1944,"M","Benevento","GRUPPO COMUNISTA - PDS","V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);COMMISSIONE PARLAMENTARE D'INCHIESTA SULLA ATTUAZIONE DEGLI INTERVENTI PER LA RICOSTRUZIONE E LO SVILUPPO DEI TERRITORI DELLA BASILICATA E DELLA CAMPANIA COLPITI DAI TERREMOTI DEL NOVEMBRE 1980 E FEBBRAIO 1981","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23230&legislatura=10",4
9,"http://dati.camera.it/ocd/deputato.rdf/d23230_9","MICHELE D'AMBROSIO",1944,"M","Benevento","PARTITO COMUNISTA ITALIANO","I COMMISSIONE (AFFARI COSTITUZIONALI - ORGANIZZAZIONE DELLO STATO - REGIONI - DISCIPLINA GENERALE DEL  RAPPORTO DI PUBBLICO IMPIEGO);VIII COMMISSIONE (ISTRUZIONE E BELLE ARTI)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23230&legislatura=9",0
9,"http://dati.camera.it/ocd/deputato.rdf/d23240_9","GIORGIO DA MOMMIO",1932,"M","Pisa","REPUBBLICANO","VI COMMISSIONE (FINANZE E TESORO);COMMISSIONE PARLAMENTARE PER IL PARERE AL GOVERNO SULLE NORME DELEGATE RELATIVE ALLA RIFORMA TRIBUTARIA","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23240&legislatura=9",0
9,"http://dati.camera.it/ocd/deputato.rdf/d23250_9","FERRUCCIO DANINI",1944,"M","Torino","PARTITO COMUNISTA ITALIANO","XIII COMMISSIONE (LAVORO - ASSISTENZA E PREVIDENZA SOCIALE - COOPERAZIONE);COMMISSIONE SPECIALE PER L'ESAME DEI PROGETTI DI LEGGE SULLA RIFORMA DEL SISTEMA PENSIONISTICO","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23250&legislatura=9",0
10,"http://dati.camera.it/ocd/deputato.rdf/d23260_10","MARIO D'ACQUISTO",1931,"M","Palermo","DEMOCRATICO CRISTIANO","II COMMISSIONE (GIUSTIZIA);V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE);VI COMMISSIONE (FINANZE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23260&legislatura=10",4
11,"http://dati.camera.it/ocd/deputato.rdf/d23260_11","MARIO D'ACQUISTO",1931,"M","Palermo","DEMOCRATICO CRISTIANO - PARTITO POPOLARE ITALIANO","COMMISSIONE SPECIALE PER L'ESAME, IN SEDE REFERENTE, DEI PROGETTI DI LEGGE CONCERNENTI LA RIFORMA DELL'IMMUNITA' PARLAMENTARE;UFFICIO DI PRESIDENZA;II COMMISSIONE (GIUSTIZIA);V COMMISSIONE (BILANCIO, TESORO E PROGRAMMAZIONE)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23260&legislatura=11",9
9,"http://dati.camera.it/ocd/deputato.rdf/d23260_9","MARIO D'ACQUISTO",1931,"M","Palermo","DEMOCRAZIA CRISTIANA","V COMMISSIONE (BILANCIO E PROGRAMMAZIONE - PARTECIPAZIONI STATALI);VII COMMISSIONE (DIFESA)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23260&legislatura=9",0
9,"http://dati.camera.it/ocd/deputato.rdf/d23270_9","SERGIO DARDINI",1926,"M","Pisa","PARTITO COMUNISTA ITALIANO","VI COMMISSIONE (FINANZE E TESORO)","http://documenti.camera.it/apps/nuovosito/deputato/getFoto.asp?id=23270&legislatura=9",0
